Time (second),Energy (MWh),Accumulated Energy (MWh)
0,0,0
3600,-0.00119704,-0.00119704
7200,-0.001196273,-0.002393313
10800,-0.001196869,-0.003590182
14400,-0.001200546,-0.004790728
18000,-0.001195474,-0.005986202
21600,0.010804832,0.004818629
25200,0.286799518,0.291618147
28800,1.218785664,1.510403811
32400,2.510803562,4.021207373
36000,3.594822332,7.616029705
39600,4.130845621,11.74687533
43200,4.154859219,15.90173455
46800,3.832602138,19.73433668
50400,3.266887725,23.00122441
54000,2.09890333,25.10012774
57600,0.874904141,25.97503188
61200,0.158874219,26.1339061
64800,-0.00114287,26.13276323
68400,-0.001131049,26.13163218
72000,-0.001124641,26.13050754
75600,-0.00113267,26.12937487
79200,-0.001154923,26.12821995
82800,-0.001162519,26.12705743
86400,-0.001172034,26.12588539
