Time (second),Energy (MWh),Accumulated Energy (MWh)
0,0,0
3600,4.780118011,4.780118011
7200,4.673415461,9.453533473
10800,3.984733267,13.43826674
14400,4.060666503,17.49893324
18000,4.562702969,22.06163621
21600,5.093303435,27.15493965
25200,5.960531506,33.11547115
28800,5.699089611,38.81456076
32400,6.998063729,45.81262449
36000,6.393444789,52.20606928
39600,6.170019725,58.37608901
43200,5.34906073,63.72514974
46800,5.038942154,68.76409189
50400,7.094139305,75.8582312
54000,9.08486282,84.94309402
57600,10.65451413,95.59760815
61200,8.940135146,104.5377433
64800,8.020823776,112.5585671
68400,10.9649996,123.5235667
72000,11.71521753,135.2387842
75600,9.620161555,144.8589458
79200,7.088400482,151.9473462
82800,8.356960197,160.3043064
86400,8.489970715,168.7942772
